item	v26	v27	reason
gameplay finding	剣が体の後ろ側を通る	振り下ろしは体の右前方	最新実機動画の指摘を反映
swing source order	0,1,3,2,4	0,1,2,3,4	頭上を越える前方遷移を正しい順で採用
blade path	9時→胴体中央→右下	9時準備→右上→右前縦→右下	下向き動作を後方へ戻さない
motion cells	17 cells	17 cells	frame6〜10だけ更新・継承12セルは不変
shared authoring scale	0.38461538	0.38461538	ソティリスのサイズを維持
release	local 3.280s / global 3.400s	unchanged	良かった後半タイミングを維持
character total	4.220s	unchanged	溜めとフォロースルーを維持
cut-in	fixed panel / 1.050s	removed	戦闘画面を隠すため完全削除
dither transition	min(0.080s, interval×0.45)	unchanged	全身の半透明化を禁止
sword aura	v21 accepted aura	same art following corrected 17 segments	良かった剣オーラを維持
slash	0.580s / approved 8 PNG	unchanged	斬撃後の良い部分を固定
impact	0.400s / 12 PNG	unchanged	着弾を固定
outer	1.500s / 11 PNG	unchanged	大爆発を固定
