frame	role	source_v22_frame	bbox_x	bbox_y	bbox_w	bbox_h	alpha_bottom	alpha_sha256	pixel_identical_to_v22_source	fixed_ground_source_x	fixed_ground_source_y	shared_authoring_scale	palette
0	inherited_v22	0	54	122	113	92	214	df7132a5189a7df14b5b52ad33e1b3fc6cde0b6f861d73b47b7f5d8ba0de96a5	yes	111	214	inherited	inherited
1	inherited_v22	1	72	119	78	95	214	92e2acf1e1e1d34d60db2a9dab34fd4a0e5bb6766a227b3ef09c19998e08165c	yes	111	214	inherited	inherited
2	inherited_v22	2	69	103	84	111	214	27440b5277dafd47a1b135afcf1b6a15b464f0dbf4cd70194dbb6162c567a7ee	yes	111	214	inherited	inherited
3	inherited_v22	3	67	78	87	136	214	94819b4c8cc0adb80fffb368225db00b9d34a8d722075857c1d6e0871000605d	yes	111	214	inherited	inherited
4	inherited_v22	4	73	64	75	150	214	325949fbee926b221540e3d44d1a546e180312d03eeb2a48fd9e465a8eb06676	yes	111	214	inherited	inherited
5	inherited_v22	5	76	58	69	156	214	5d6b28b9f840ea49802af7486a348b66ea489da70fd9c108a86ae7e499fd1192	yes	111	214	inherited	inherited
6	frontside_inbetween		75	69	61	145	214	af53c4d52e5a104f261898a623a9aaa94db2b5c6f82f48fbb807a2dff31def6d	new	111	214	0.38461538	current_12f
7	frontside_inbetween		45	116	98	98	214	8dfb2e33a9ed379359cd6e4fd0be6884bd40320443f750f46735ea1811cdd587	new	111	214	0.38461538	current_12f
8	frontside_inbetween		79	78	78	136	214	a6896cd6b15d3676e5422ff4bacccaf5b1a1c8898f29a7555e7af6011197c58b	new	111	214	0.38461538	current_12f
9	frontside_inbetween		72	123	65	91	214	d783a8c0cc2565344940194073b9fbb38f772cd155c8035054923e9f930db1bf	new	111	214	0.38461538	current_12f
10	frontside_inbetween		77	136	77	78	214	5be6a09eb8f36f523e4c1ae35cbc03fcf4216b88bfa99793577d7c06609a7c6e	new	111	214	0.38461538	current_12f
11	inherited_v22	6	56	120	109	94	214	99a531acd45fbaf704398297385ad24b935b3597de018f3aefdb6a9535f36669	yes	111	214	inherited	inherited
12	inherited_v22	7	44	122	133	92	214	fa01172efe4e4cd0c606c522f6fcd502062704d7e6f93cf2ec7c6ebbddb8276d	yes	111	214	inherited	inherited
13	inherited_v22	8	47	120	128	94	214	f62d69dd9fd29b5a3a6cea696fd368909d35d6570c1eab82bb51cbb4054bf40e	yes	111	214	inherited	inherited
14	inherited_v22	9	44	123	133	91	214	dbe64655d65d38f872d6691d35a7a9e8f2d40c8b754c52a6ca7939aed971db62	yes	111	214	inherited	inherited
15	inherited_v22	10	43	134	134	80	214	7f4421b3cbea7bdd09107c1d5d60a8774bfb9f4c930313bb8941e2985133dbae	yes	111	214	inherited	inherited
16	inherited_v22	11	63	113	96	101	214	8eb30040c413a08fd7632ee70b519ddf5ef364bfeb219cb2062399b94cb55f23	yes	111	214	inherited	inherited
