frame	base_x	base_y	tip_x	tip_y	aura_pivot_x	aura_pivot_y	source_aura_length
0	106	165	54	191	24	140	126
1	106	157	72	120	24	140	126
2	108	154	69	103	24	140	126
3	110	154	67	78	24	140	126
4	110	154	74	64	24	140	126
5	111	154	101	58	24	140	126
6	110	128	110	69	24	140	126
7	101	135	45	128	24	140	126
8	119	124	157	78	24	140	126
9	114	166	124	213	24	140	126
10	112	177	154	211	24	140	126
11	118	164	165	208	24	140	126
12	119	165	177	205	24	140	126
13	119	165	175	204	24	140	126
14	120	169	177	206	24	140	126
15	120	173	177	210	24	140	126
16	119	162	159	191	24	140	126
