lane	event	start_sec	end_sec	duration_sec	transition
character	pose_00	0.0000	0.3800	0.3800	binary_4x4_dither_max_45pct
character	pose_01	0.3800	0.7400	0.3600	binary_4x4_dither_max_45pct
character	pose_02	0.7400	1.1000	0.3600	binary_4x4_dither_max_45pct
character	pose_03	1.1000	1.4800	0.3800	binary_4x4_dither_max_45pct
character	pose_04	1.4800	1.9400	0.4600	binary_4x4_dither_max_45pct
character	pose_05	1.9400	2.5400	0.6000	binary_4x4_dither_max_45pct
character	pose_06	2.5400	2.7200	0.1800	binary_4x4_dither_max_45pct
character	pose_07	2.7200	2.9000	0.1800	binary_4x4_dither_max_45pct
character	pose_08	2.9000	3.0000	0.1000	binary_4x4_dither_max_45pct
character	pose_09	3.0000	3.0800	0.0800	binary_4x4_dither_max_45pct
character	pose_10	3.0800	3.1600	0.0800	binary_4x4_dither_max_45pct
character	pose_11	3.1600	3.2800	0.1200	binary_4x4_dither_max_45pct
character	pose_12	3.2800	3.4600	0.1800	binary_4x4_dither_max_45pct
character	pose_13	3.4600	3.6200	0.1600	binary_4x4_dither_max_45pct
character	pose_14	3.6200	3.7800	0.1600	binary_4x4_dither_max_45pct
character	pose_15	3.7800	3.9800	0.2000	binary_4x4_dither_max_45pct
character	pose_16	3.9800	4.2200	0.2400	hold
impact	crossflash_00	0.0000	0.0300	0.0300	gamma_0.70_crossfade
impact	crossflash_01	0.0300	0.0600	0.0300	gamma_0.70_crossfade
impact	crossflash_02	0.0600	0.0930	0.0330	gamma_0.70_crossfade
impact	crossflash_03	0.0930	0.1260	0.0330	gamma_0.70_crossfade
impact	crossflash_04	0.1260	0.1610	0.0350	gamma_0.70_crossfade
impact	crossflash_05	0.1610	0.1990	0.0380	gamma_0.70_crossfade
impact	crossflash_06	0.1990	0.2390	0.0400	gamma_0.70_crossfade
impact	crossflash_07	0.2390	0.2790	0.0400	gamma_0.70_crossfade
impact	crossflash_08	0.2790	0.3170	0.0380	gamma_0.70_crossfade
impact	crossflash_09	0.3170	0.3500	0.0330	gamma_0.70_crossfade
impact	crossflash_10	0.3500	0.3770	0.0270	gamma_0.70_crossfade
impact	crossflash_11	0.3770	0.4000	0.0230	gamma_0.70_crossfade
outer	outer_00	0.0000	0.0750	0.0750	gamma_0.70_crossfade
outer	outer_01	0.0750	0.1625	0.0875	gamma_0.70_crossfade
outer	outer_02	0.1625	0.2625	0.1000	gamma_0.70_crossfade
outer	outer_03	0.2625	0.3750	0.1125	gamma_0.70_crossfade
outer	outer_04	0.3750	0.5125	0.1375	gamma_0.70_crossfade
outer	outer_05	0.5125	0.6625	0.1500	gamma_0.70_crossfade
outer	outer_06	0.6625	0.8375	0.1750	gamma_0.70_crossfade
outer	outer_07	0.8375	1.0625	0.2250	gamma_0.70_crossfade
outer	outer_09	1.0625	1.2375	0.1750	gamma_0.70_crossfade
outer	outer_10	1.2375	1.3750	0.1375	gamma_0.70_crossfade
outer	outer_11	1.3750	1.5000	0.1250	gamma_0.70_crossfade
