keys,en
 かつ , and 
 または , or 
%d / %d 文字,%d / %d chars
%d / %d人,%d / %d
%d HP回復,Heal %d HP
%d〜%dターン目のあいだ,Between turn %d and %d
%dターンごと,Every %d turns
%dターン目,Turn %d
%dターン目まで,Up to turn %d
%dターン目以降,From turn %d onward
%s  [%s]  外見:%s  ID:%s,%s  [%s]  Appearance: %s  ID: %s
%s に %d %s,%s: %d %s
%s に %d SP回復,%s recovers %d SP
%s に %d ダメージ,%d damage to %s
%s に %d 回復,%s heals %d
%s にかばわれている,Protected by %s
%s の攻撃を防いだ！,Blocked %s's attack!
%s をかばう,Protecting %s
%s　(作者: %s),%s (by %s)
%s　SP %d%s,%s  SP %d%s
%s　（ターン%d）,%s (Turn %d)
%sが戦闘不能になっている,%s is down
%sが生存している,%s is alive
%s（%s、対象:%s、SP消費%s）,"%s (%s, Target: %s, SP Cost %s)"
%s（%s）,%s (%s)
%s（戦闘不能）,%s (Down)
%s：%s,%s: %s
ATK　%d,ATK  %d
ATK　%s,ATK  %s
ATK倍率,ATK Multiplier
ATK強化 ×%s　残り%dターン,ATK Up ×%s  %d turns left
ATK自己強化 / ATK×%.2f / %dターン,Self ATK Buff / ATK×%.2f / %d Turns
ATK：%d,ATK: %d
ATK：%s倍,ATK: ×%s
Creatorに戻る,Back to Creator
Creator一覧へ戻る,Back to Creator List
HP %s / ATK %s / SPD %s,HP %s / ATK %s / SPD %s
HP/ATK/SPDを範囲内に設定してください,Please set HP/ATK/SPD within range
HP　%d / %d,HP  %d / %d
HP　%s,HP  %s
HP：%d,HP: %d
"HP：%d
ATK：%d
SPD：%d","HP: %d
ATK: %d
SPD: %d"
JSON解析に失敗しました: %s,Failed to parse JSON: %s
SPD　%d,SPD  %d
SPD　%s,SPD  %s
SPD：%d,SPD: %d
SP　%d / %d,SP  %d / %d
STEAM_APP_ID未設定（環境変数、または steam_dev_appid.local.txt）。,"STEAM_APP_ID not set (environment variable, or steam_dev_appid.local.txt)."
SUPABASE_PUBLISHABLE_KEYが設定されていません。,SUPABASE_PUBLISHABLE_KEY is not set.
SUPABASE_PUBLISHABLE_KEYが設定されていません（環境変数、または supabase_poc.local.env）。,"SUPABASE_PUBLISHABLE_KEY is not set (environment variable, or supabase_poc.local.env)."
SUPABASE_URLが設定されていません。,SUPABASE_URL is not set.
SUPABASE_URLが設定されていません（環境変数、または supabase_poc.local.env）。,"SUPABASE_URL is not set (environment variable, or supabase_poc.local.env)."
Steamが利用できません。Steamを起動してログインしてください。,Steam is unavailable. Please start Steam and log in.
Steamにログインしていません。,Not logged in to Steam.
Steam認証チケットの取得に失敗しました。,Failed to obtain a Steam auth ticket.
Supabaseサーバーエラー (HTTP %d),Supabase server error (HTTP %d)
by %s,by %s
← 戻る,← Back
← 挑戦ハブ,← Challenge Hub
→ %s,→ %s
■ 使用する攻撃,■ Attacks Used
■ 使用回数,■ Use Limit
■ 発動条件,■ Trigger Condition
○ターンごと,Every ○ turns
、,", "
"「%s」を削除しますか？
ステージID：%s

この操作は取り消せません。","Delete ""%s""?
Stage ID: %s

This action cannot be undone."
いつ使う？,When to use?
このスキルを標準値へ戻す,Reset This Skill to Default
このボスにはランダム行動が設定されています。挑戦ごとに行動が変化する場合があります。,This boss has random actions. Its behavior may vary each attempt.
このボスに挑戦,Challenge This Boss
このボスは取得できませんでした（%s）。,This boss couldn't be fetched (%s).
このボスは行動しません,This boss won't act
このボス戦はクリアチェックされていません,This boss battle hasn't passed Clear Check
このランダム攻撃を削除,Delete This Random Attack
この投稿を更新する権限がありません。,You don't have permission to update this post.
この攻撃を削除,Delete This Attack
この方法で作成を始める,Start Creating This Way
この設定で攻略可能か確認します,Check whether this boss can be cleared with these settings
これ以上ボスの行動を追加できません,No more actions can be added
すべてOFF,All OFF
すべてON,All ON
すべて公開,Show All
すべて非公開,Hide All
なし,None
まだ戦闘記録がありません,No battle log yet
まだ設定されていません,Not set yet
もう一度テスト,Test Again
